"plantas","Acalyptratae.sp2","Acalyptratae.sp4","Acromyrmex.lobicornis","Alloscirtetica.brethesi","Alloscirtetica.sp1","Ammophila.sp","Ananthidium.inerme","Anthidium.friesei","Anthrax.oedipus","Anthidium.rubripes","Anthidium.vigintipunctatum","Anthomyiidae.sp1","Apis.mellifera","Arhysosage.bifasciata","Aristosyrphus.sp","Ascia.monuste","Asilidae.sp1","Asilidae.sp2","Audre.sp","Augochloropsis.sp","Babia.elongata","Bibionidae.sp","Bombus.opifex","Exoprosopa.sp1","Exoprosopa.sp2","Bombyliidae.sp12","Bombyliidae.sp14","Bombyliidae.sp15","Bombyliidae.sp16","Chrysanthrax.sp2","Bombilidae.sp5","Parasystoechus.sp","Poecilognathus.sp","Bombyliidae.sp9","Caenohalictus.sp","Calliopsini.sp1","Camponotus.mus","Camponotus.punctulatus","Centris.brethesi","Centris.lyngbyei","Centris.vardyorum","Chaetocrania.sp","Cochliomyia.macellaria","Coccinelidae.sp1","Coccinela.sp2","Coelioxys.chilensis","Coelioxys.jorgenseni","Coelioxys.sp6","Colletes.araucariae","Colletes.bicolor","Colletes.brethesi","Colletes.cognatus","Colletes.lycii","Compsomyiops.fulvicrura","Copestilum.aricia","Copestilum.sp2","Copestilum.sp3","Cosmosatyrus.chilensis","Crabronidae.sp1","Diadasia.baraderensis","Diadasia.patagonica","Diabrotica.sp","Dialictus.sp","Empididae.sp1","Empididae.sp2","Epitragus.sp","Eumenidae.sp","Chrysanthrax.sp1","Foreluis.sp","Hirmoneura.sp","Hypalastroides.sp","Isepeolus.vachali","Isepeolus.viperinus","Leioproctus.abdominalis","Leioproctus.friesei","Leptometriella.nigra","Lepidoptera.sp11","Lepidoptera.sp12","Lepidoptera.sp3","Lepidoptera.sp4","Liphantus.inornatus","Liphantus.nigritus","Lonchopria.robertsi","Lonchopria.sp","Megachile.leucographa","Megachile.obscurior","Megachile.nigella","Megachile.pseudocentron2","Melectoides.cockerelli","Melissoptila.sp","Mesonychium.jenseni","Muscidae.sp2","neu.sp1","Nitidulidae.sp1","Pyrgus.communis","Platycheirus.sp","Polistes.cavapyta","Pompilidae.sp2","Psaenythia.philantoides","Psaenythia.rufipes","Pseudagapostemon.sp","Rubrica.nasuta","Sarcophagidae.sp1","Sciomyzidae","Sphex.sp2","Sphecidae.sp1","Strymon.eurytulus","Svastrides.bauni","Svastra.sp","Svastrides.zebra","Syrphus.sp1","Syrphidae.sp2","Syrphidae.sp3","Syrphidae.sp5","Syrphidae.sp6","Tachipompillus.sp","Tachinidae.sp10","Tachinidae.sp15","Tachinidae.sp17","Tachinidae.sp5","Tachinidae.sp8","Tachytes.sp","Tatochila.autodice","Tephritidae.sp1","Tephritidae.sp2","Thynnidae.sp","Toxomerus.sp1","Trichothurgus.laticeps","Trichoturgus.sp2","Villa.sp","Willinkapis.chalybaea","Xylocopa.augusti","Xylocopa.atamisquensis","Xylocopa.splendidula","Zeta.sp"
"condalia.microphylla",0,0,0,0,0,17,0,0,0,0,0,4,757,0,16,0,12,4,0,55,0,0,0,115,172,0,1,0,7,84,0,4,0,18,0,0,264,178,0,0,0,5,5,0,14,0,0,0,0,0,0,10,0,332,950,118,0,1,1,0,0,33,57,1,3,0,0,345,0,776,3,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,5,2,1,0,7,45,1,4,2,1,0,1,1,0,0,2,0,0,0,181,1,1,2,0,0,84,1,1,0,1,0,0,3,0,69,0,0,0,83,0,0,0,0,42
"descurainia.sp",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"dipyrena.glaberrima",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,4,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,8,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"erodium.cicatarium",0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0
"fumaria.capreolata",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"helenium.donianum",0,0,0,0,0,31,0,0,0,2,0,0,15,0,0,0,0,0,4,55,0,0,3,0,0,0,0,0,0,2,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,9,0,13,0,0,4,2,15,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,0,3,2,36,0,0,0,0,0,0,0,9,0,0,0,1,3,2,0,0,0,0,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8
"hoffmannseggia.eremophila",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hysterionica.jassionoide",0,0,0,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"larrea.cuneifolia",0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,2,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,43,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0
"larrea.divaricata",0,0,0,4,14,3,0,56,0,34,3,1,368,3,0,11,1,0,36,52,0,0,154,5,0,0,0,0,0,0,0,2,8,0,4,0,0,0,222,3,0,0,2,0,0,0,0,0,7,0,0,49,40,8,213,6,0,39,0,0,3,0,43,0,0,0,0,5,0,21,0,1,0,21,0,0,0,0,0,1,0,0,54,2,260,56,10,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,55,0,0,0,2,0,0,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,2,13,0,431,33,10
"larrea.nitida",0,0,0,59,0,0,0,0,0,0,0,0,453,0,0,1,0,0,40,133,0,0,71,8,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,6,0,20,0,0,18,2,0,87,17,0,1,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446,14,0
"lecanophora.heterophylla",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,35,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
