"plantas","Acarina.sp1.M.PL.020","Acarina.sp4.M.PL.020","Aedes.impiger","Aedes.nigripes","Aedes.sp1.M.PL.020","Allopiophila.fulviceps","Anarta.richardsoni","Apanteles.sp1.M.PL.020","Arctoseius.cetratus","Atractodes.sp1.M.PL.020","Boloria.chariclea","Boloria.polaris","Bombus.sp1.M.PL.020","Boreellus.atriceps","Bryobia.praetiosa","Calliphoridae.sp1.M.PL.020","Carposcalis.carinata","Cecidophyes.sp1.M.PL.020","Ceratopogon.sp1.M.PL.020","Ceratopogon.sp2.M.PL.020","Chalcidae.sp1.M.PL.020","Colias.hecla","Corynoneura.scutellata","Cricotopus.sp1.M.PL.020","Crymodes.exulis","Cryptus.arcticus","Culicoides.sp1.M.PL.020","Dictyna.borealis","Diptera.sp5.M.PL.020","Dolichopus.dasyops","Entomobrya.comparata","Erigone.pyschrophila","Eupogonomyia.groenlandica","Forcipomyia.sp1.M.PL.020","Fucellia.pictipennis","Helophilus.borealis","Ichneumonidae.sp1.M.PL.020","Lasiestra.leucocycla","Lasiopiophila.pilosa","Limnophyes.sp1.M.PL.020","Lycaena.feildeni","Metasyrphus.chillcotti","Microspectra.sp1.M.PL.020","Microspectra.sp2.M.PL.020","Nematus.sp1.M.PL.020","Olethreutes.inquietana","Oresbius.sp1.M.PL.020","Orthocladiinae.sp1.M.PL.020","Paraphaenocladius.despectus","Pardosa.glacialis","Pectinarctica.stylata","Pegomyia.sp1.M.PL.020","Peleteria.aenea","Periscepsia.sp1.M.PL.020","Phalacrodira.nigropilosa","Phormia.terraenovae","Phytomyza.erigerontophaga","Plebius.aquilo","Pogonomyoides.segnis","Procladius.sp1.M.PL.020","Psectrocladius.sp1.M.PL.020","Rhamphomyia.filicauda","Rhamphomyia.hoeli","Rhamphomyia.sp1.M.PL.020","Rhamphomyia.sp2.M.PL.020","Rhamphomyia.ursinella","Saotis.sp1.M.PL.020","Scatophaga.apicaulis","Scatophaga.multisetosa","Scatophaga.sp1.M.PL.020","Sciari.sp1.M.PL.020","Smittia.sp1.M.PL.020","Smittia.velutina","Spilogona.denudata","Spilogona.dorsata","Spilogona.extensa","Spilogona.melanosoma","Spilogona.obsoleta","Spilogona.sanctipauli","Spilogona.tornensis","Spilogona.tundrae","Stenomacrus.sp1.M.PL.020","Sympistris.labradoris","Tachinidae.sp1.M.PL.020","Tarentula.exasperans","Tipula.arctica","Tridymus.sp1.M.PL.020","Unidentified.sp1.M.PL.020","Unidentified.sp2.M.PL.020","Unidentified.sp3.M.PL.020","Xysticus.deichmanni"
"Pedicularis.arctica",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Pedicularis.capitata",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Polygonum.viviparum",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"Potentilla.nivea",0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"Ranumculus.sulphureus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Salix.arctica",1,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"Saxifraga.hirculus",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Saxifraga.oppositifolia",0,1,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"Stellaria.longipes",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"Taraxacum.arctogenum",0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
