"plantas","Bombus.hortorum","Bombus.lapidarius","Bombus.lucorum","Bombus.pascuorum","Bombus.pratorum","Bombus.ruderatus","Bombus.soroeensis","Bombus.terrestris"
"Tripleurospermum.inodorum",1,0,0,0,1,0,0,0
"Senecio.jacobea",0,0,0,0,1,0,0,0
"Epilobium.montanum",1,0,0,0,0,0,0,1
"Angelica.sylvestris",0,0,0,0,0,0,0,0
"Sonchus.palustris",0,1,0,0,0,0,0,0
"Chrysanthemum.maximum",0,0,0,0,0,0,0,0
"Lychnis.flos-cuculi",0,0,0,0,0,0,0,0
"Echium.vulgare",0,0,0,1,0,0,0,0
"Verbascum.thapsus",0,0,0,1,0,0,0,0
"Cerastium.glomeratum",0,0,0,0,0,0,0,0
"Melilotus.albus",0,0,0,1,0,0,0,1
"Cirsium.arvense",0,1,0,1,0,0,0,1
"Calystegia.sepium",0,1,0,1,0,0,0,0
"Myosotis.palustris",0,0,0,1,0,0,0,0
"Stachys.sylvatica",1,0,0,1,0,0,0,0
"Chaerophyllum.temulentum",0,0,0,0,0,0,0,0
"Stachys.palustris",0,0,0,1,0,0,0,0
"Hypericum.perforatum",0,0,0,0,0,0,0,0
"Lapsana.communis",0,0,0,0,0,0,0,0
"Ranunculus.repens",1,0,0,0,0,0,0,0
"Juncus.effusus",0,0,0,0,0,0,0,0
"Geranium.robertianum",1,0,0,0,0,0,0,0
"Prunella.vulgaris",1,0,0,1,0,0,0,0
"Daucus.carota",0,0,0,0,0,0,0,0
"Veronica.agrestis",0,0,0,0,0,0,0,0
"Sonchus.arvensis",0,0,0,0,0,0,0,0
"Eupatorium.cannabinum",0,1,1,1,0,0,0,1
"Allium.scorodoprasum",0,0,0,0,0,0,0,0
"Trifolium.dubium",0,1,0,1,0,0,0,0
"Malva.sylvestris",0,0,0,0,0,0,0,0
"Vicia.sepium",0,0,0,1,0,0,0,0
"Aegopodium.podagraria",0,0,0,0,0,0,0,0
"Trifolium.repens",0,1,0,1,0,0,0,0
"Chamomilla.recutita",0,0,0,0,0,0,0,0
"Vicia.hirsuta",0,0,0,0,0,0,0,0
"Achillea.millefolium",0,0,0,0,0,0,0,0
"Cirsium.vulgare",0,1,1,1,1,1,1,0
"Silene.dioica",1,0,0,1,0,0,1,0
"Tanacetum.vulgare",1,1,0,0,0,0,0,1
