Plantas;Acalyptratae_sp2;Acalyptratae_sp4;Acromyrmex_lobicornis;Alloscirtetica_brethesi;Alloscirtetica_sp1;Ammophila_sp;Ananthidium_inerme;Anthidium_friesei;Anthrax_oedipus;Anthidium_rubripes;Anthidium_vigintipunctatum;Anthomyiidae_sp1;Apis_mellifera;Arhysosage_bifasciata;Aristosyrphus_sp;Ascia_monuste;Asilidae_sp1;Asilidae_sp2;Audre_sp;Augochloropsis_sp;Babia_elongata;Bibionidae_sp;Bombus_opifex;Exoprosopa_sp1;Exoprosopa_sp2;Bombyliidae_sp12;Bombyliidae_sp14;Bombyliidae_sp15;Bombyliidae_sp16;Chrysanthrax_sp2;Bombilidae_sp5;Parasystoechus_sp;Poecilognathus_sp;Bombyliidae_sp9;Caenohalictus_sp;Calliopsini_sp1;Camponotus_mus;Camponotus_punctulatus;Centris_brethesi;Centris_lyngbyei;Centris_vardyorum;Chaetocrania_sp;Cochliomyia_macellaria;Coccinelidae_sp1;Coccinela_sp2;Coelioxys_chilensis;Coelioxys_jorgenseni;Coelioxys_sp6;Colletes_araucariae;Colletes_bicolor;Colletes_brethesi;Colletes_cognatus;Colletes_lycii;Compsomyiops_fulvicrura;Copestilum_aricia;Copestilum_sp2;Copestilum_sp3;Cosmosatyrus_chilensis;Crabronidae_sp1;Diadasia_baraderensis;Diadasia_patagonica;Diabrotica_sp;Dialictus_sp;Empididae_sp1;Empididae_sp2;Epitragus_sp;Eumenidae_sp;Chrysanthrax_sp1;Foreluis_sp;Hirmoneura_sp;Hypalastroides_sp;Isepeolus_vachali;Isepeolus_viperinus;Leioproctus_abdominalis;Leioproctus_friesei;Leptometriella_nigra;Lepidoptera_sp11;Lepidoptera_sp12;Lepidoptera_sp3;Lepidoptera_sp4;Liphantus_inornatus;Liphantus_nigritus;Lonchopria_robertsi;Lonchopria_sp;Megachile_leucographa;Megachile_obscurior;Megachile_nigella;Megachile_pseudocentron2;Melectoides_cockerelli;Melissoptila_sp;Mesonychium_jenseni;Muscidae_sp2;neu.sp1;Nitidulidae_sp1;Pyrgus_communis;Platycheirus_sp;Polistes_cavapyta;Pompilidae_sp2;Psaenythia_philantoides;Psaenythia_rufipes;Pseudagapostemon_sp;Rubrica_nasuta;Sarcophagidae_sp1;Sciomyzidae;Sphex_sp2;Sphecidae_sp1;Strymon_eurytulus;Svastrides_bauni;Svastra_sp;Svastrides_zebra;Syrphus_sp1;Syrphidae_sp2;Syrphidae_sp3;Syrphidae_sp5;Syrphidae_sp6;Tachipompillus_sp;Tachinidae_sp10;Tachinidae_sp15;Tachinidae_sp17;Tachinidae_sp5;Tachinidae_sp8;Tachytes_sp;Tatochila_autodice;Tephritidae_sp1;Tephritidae_sp2;Thynnidae_sp;Toxomerus_sp1;Trichothurgus_laticeps;Trichoturgus_sp2;Villa_sp;Willinkapis_chalybaea;Xylocopa_augusti;Xylocopa_atamisquensis;Xylocopa_splendidula;Zeta_sp
acantholippia_seriphioides;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;3;45;0;1;0;46;29;0;0;0;0;55;0;6;0;2;0;0;6;0;0;15;0;1;0;0;0;0;0;0;0;0;0;0;0;0;47;35;0;0;0;0;0;5;3;0;5;0;0;22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;2;0;0;0;11;0;0;0;0;0;10;0;0;1;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0
aloyssia_gratissima;0;0;0;0;0;40;0;0;0;0;0;0;435;0;0;0;1;0;0;44;0;12;5;3;0;0;0;2;0;0;0;0;0;2;14;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;2;0;2;136;408;1;0;0;0;0;0;1;0;0;0;0;19;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;3;0;2;0;0;0;15;0;0;0;11;0;0;0;1;0;47;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;1;0;0
argemone_subfusiformis;0;0;0;0;0;0;0;0;0;0;0;0;15;1;0;0;0;0;0;12;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
arjona_longifolia;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;3;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
bougainvillea_spinosa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;51;0;0;6;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
bredemeyera_microphylla;0;0;0;0;0;0;0;0;0;0;0;0;360;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
buddleja_mendozensis;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;4;0;11;19;0;16;0;2;0;2;0;0;0;0;0;0;0;0;5;0;4;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;5;87;50;0;3;0;0;0;0;4;0;0;0;0;7;0;4;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;3;0;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;19;0;0;0;3;0;0;0;0;0;96;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;1
capparis_atamisquea;0;0;0;0;0;22;3;0;0;1;0;0;74;0;0;0;0;0;5;39;0;0;54;2;3;0;0;0;0;0;1;4;3;4;0;0;0;0;244;0;0;0;0;0;0;1;0;1;12;2;0;2;2;2;78;7;0;30;0;0;2;0;4;0;0;0;5;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;8;4;3;0;0;13;0;0;0;3;0;1;0;0;0;0;20;0;0;11;147;21;0;0;2;0;1;0;0;0;43;3;0;0;0;0;0;0;0;0;2;0;0;0;0;13;0;144;11;3
centaurea_solstialis;0;0;0;0;0;19;0;0;0;0;0;0;1;0;0;0;0;0;0;11;1;0;11;0;0;0;0;0;0;2;2;0;26;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;14;5;0;25;0;0;8;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;8;0;0;0;24;0;0;0;27;0;0;0;1;0;4;0;0;0;0;0;1;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;13;0;0;0;0;0;0;0;0;0;0;0;1
cerastium_arvense;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;2;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
clematis_montevidensis;0;0;0;0;0;25;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;17;14;0;0;0;0;4;0;0;0;0;0;0;1;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;2;5;4;0;2;0;0;3;0;1;0;0;0;1;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;7;7;0;0;0;2;0;0;0;0;0;0;0;0;11;0;0;0;0;0
condalia_microphylla;0;0;0;0;0;17;0;0;0;0;0;4;757;0;16;0;12;4;0;55;0;0;0;115;172;0;1;0;7;84;0;4;0;18;0;0;264;178;0;0;0;5;5;0;14;0;0;0;0;0;0;10;0;332;950;118;0;1;1;0;0;33;57;1;3;0;0;345;0;776;3;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;5;2;1;0;7;45;1;4;2;1;0;1;1;0;0;2;0;0;0;181;1;1;2;0;0;84;1;1;0;1;0;0;3;0;69;0;0;0;83;0;0;0;0;42
descurainia_sp;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
dipyrena_glaberrima;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;7;0;0;0;0;0;0;0;0;0;0;0;4;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42;4;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;8;14;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
erodium_cicatarium;0;0;0;0;0;0;0;0;0;0;0;0;49;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;33;0;0;0;0;0;0;0;0;0;0;0;9;0;0;0;0;0;0;0;0;0;0;0;0
fumaria_capreolata;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0
